Title;Description;Role Segment;Key Responsibilities;Career Level Expectations
Brand Management Specialist;Support Accenture's brand strategy, visual identity and brand positioning internally and externally. Focus on ensuring understanding of the principles of naming, alliances, affiliated companies, trademarks, and going to market as one global brand. Work with our global design agencies as they execute and implement Accenture's world-class brand in the marketplace. Liaise with key stakeholders internally to align communications, initiatives and behavior around the Accenture brand strategy.;Marketing & Communications;Provide recommendations on policy/process improvements on brand strategy. Support strategic brand initiatives internally and externally to build brand equity. Plan and prioritize complex and often undefined activities for team, and communicates any changes in brand strategy to key stakeholders. Plan/adapt existing methods and procedures, arranges new information in new ways to create possible alternative solutions to problems, most of which are complex. Work across multiple marketing areas independently and manage internal/external resources as necessary, providing metrics and owning accountability for bottom-line results. Manage/provide support towards managing technical applications of the Accenture Brand Space website – the website which houses all brand guidelines, templates, tools etc. Aim to maximize the visual impact of Accenture as a high performance company. Coordinate with all marketing external agencies across design, research, print, etc. May support training initiatives, contracts, cost savings, compliance ensuring all marketing spend is under management. Contribute to the effectiveness of the Accenture Global Brand Hotline driving a consistent and powerful application of the Accenture brand with external agencies and Accenture professionals. Manage the merchandise program. Support the brand and advertising awards program. Ensure ongoing measurement and metrics to deliver excellence and consistency of brand in the marketplace. Support in managing and training the company’s preferred marketing commodity vendors and Marketing and Communications professionals.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Brand Management Senior Analyst;Support Accenture's brand strategy, visual identity and brand positioning internally and externally. Focus on ensuring understanding of the principles of naming, alliances, affiliated companies, trademarks, and going to market as one global brand. Work with our global design agencies as they execute and implement Accenture's world-class brand in the marketplace. Liaise with key stakeholders internally to align communications, initiatives and behavior around the Accenture brand strategy.;Marketing & Communications;Provide recommendations on policy/process improvements on brand strategy. Support strategic brand initiatives internally and externally to build brand equity. Plan and prioritize complex and often undefined activities for team, and communicates any changes in brand strategy to key stakeholders. Plan/adapt existing methods and procedures, arranges new information in new ways to create possible alternative solutions to problems, most of which are complex. Work across multiple marketing areas independently and manage internal/external resources as necessary, providing metrics and owning accountability for bottom-line results. Manage/provide support towards managing technical applications of the Accenture Brand Space website – the website which houses all brand guidelines, templates, tools etc. Aim to maximize the visual impact of Accenture as a high performance company. Coordinate with all marketing external agencies across design, research, print, etc. May support training initiatives, contracts, cost savings, compliance ensuring all marketing spend is under management. Contribute to the effectiveness of the Accenture Global Brand Hotline driving a consistent and powerful application of the Accenture brand with external agencies and Accenture professionals. Manage the merchandise program. Support the brand and advertising awards program. Ensure ongoing measurement and metrics to deliver excellence and consistency of brand in the marketplace. Support in managing and training the company’s preferred marketing commodity vendors and Marketing and Communications professionals.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Brand Management Analyst;Support Accenture's brand strategy, visual identity and brand positioning internally and externally. Focus on ensuring understanding of the principles of naming, alliances, affiliated companies, trademarks, and going to market as one global brand. Work with our global design agencies as they execute and implement Accenture's world-class brand in the marketplace. Liaise with key stakeholders internally to align communications, initiatives and behavior around the Accenture brand strategy.;Marketing & Communications;Provide recommendations on policy/process improvements on brand strategy. Support strategic brand initiatives internally and externally to build brand equity. Plan and prioritize complex and often undefined activities for team, and communicates any changes in brand strategy to key stakeholders. Plan/adapt existing methods and procedures, arranges new information in new ways to create possible alternative solutions to problems, most of which are complex. Work across multiple marketing areas independently and manage internal/external resources as necessary, providing metrics and owning accountability for bottom-line results. Manage/provide support towards managing technical applications of the Accenture Brand Space website – the website which houses all brand guidelines, templates, tools etc. Aim to maximize the visual impact of Accenture as a high performance company. Coordinate with all marketing external agencies across design, research, print, etc. May support training initiatives, contracts, cost savings, compliance ensuring all marketing spend is under management. Contribute to the effectiveness of the Accenture Global Brand Hotline driving a consistent and powerful application of the Accenture brand with external agencies and Accenture professionals. Manage the merchandise program. Support the brand and advertising awards program. Ensure ongoing measurement and metrics to deliver excellence and consistency of brand in the marketplace. Support in managing and training the company’s preferred marketing commodity vendors and Marketing and Communications professionals.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Business & Industry Integration Architecture Associate Director;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Business & Industry Integration Architecture Senior Manager;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Business & Industry Integration Architecture Manager;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Business & Industry Integration Architecture Associate Manager;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Business & Industry Integration Architecture Specialist;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Business & Industry Integration Architecture Senior Analyst;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Business & Industry Integration Architecture Analyst;Aligning technology with business strategy and goals they working directly with the client gathering requirements to analyze, design and/or implement technology best practice business changes. They are sought out as experts internally and externally for their deep functional or industry expertise, domain knowledge, or offering expertise. They enhance Accenture's marketplace reputation.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Business & Technology Delivery Associate Director;Analyze, design and or develop best practice business changes. Translate medium/large sized client requirements into Technology Solutions leveraging Accenture´s full capabilities. May support the expansion of technology footprint.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Business & Technology Delivery Senior Manager;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Business & Technology Delivery Manager;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Business & Technology Delivery Associate Manager;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Business & Technology Delivery Specialist;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Business & Technology Delivery Team Lead;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Business & Technology Delivery Senior Analyst;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Business & Technology Delivery Analyst;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Business & Technology Delivery Associate;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments.Decisions impact own work.Individual contributor as a part of a team, with a predetermined, focused scope of work.
Business & Technology Delivery New Associate;Analyze, design and/or develop best practice business changes through technology solutions.;Business & Technology Integration;Understand and translate requirements into business and technology solutions. Provide technology analysis. Analyze as-is and to-be processes to define system/technology requirements. Deliver quality functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements. Develop and Implement quality business solutions for the client.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed instructions on all tasks with close supervision.Decisions impact own work and are closely supervised.Individual contributor as a part of a team with a predetermined, narrow scope of work.
Business & Technology Innovation Principal Director;Analyze, design and/or develop best practice business changes. Translate medium/large sized and/or complex client requirements into Technology Solutions leveraging Accenture´s full capabilities. Lead contribution to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Business & Technology Integration;Participate in projects as the SME focused on delivering agreed business outcomes for our clients and/or Accenture. Regularly counsel  middle management on issues and trends affecting their organization. Lead and/or act as a key player in critical situations within area of expertise, either internally for Accenture or at client engagement(s).;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Business & Technology Innovation Senior Principal;Analyze, design and/or develop best practice business changes through technology solutions. Contribute to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Business & Technology Integration;Participate in projects as the SME focused on delivering agreed business outcomes for our clients and/or Accenture. Regularly counsel  middle management on issues and trends affecting their organization. Lead and/or act as a key player in critical situations within area of expertise, either internally for Accenture or at client engagement(s).;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Business & Technology Innovation Principal;Analyze, design and/or develop best practice business changes through technology solutions. Contribute to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Business & Technology Integration;Participate in projects as a key representative within a  functional, technical or industry area of expertise. Discuss issues or trends within area of expertise to raise client and/or Accenture awareness. Act as a key contributor in critical situations, either internally for Accenture or at client engagement(s)  pertaining to a functional, technical or business area of expertise.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Business & Technology Innovation Associate Principal;Analyze, design and/or develop best practice business changes through technology solutions. Contribute to assets/offerings and thought leadership. Act as Subject Matter Expert in area of expertise and enhance Accenture’s marketplace reputation.;Business & Technology Integration;Participate in projects as a representative within a  functional, technical or industry area of expertise. Discuss issues or trends within area of expertise to raise client and/or Accenture awareness. Act as a contributor in medium critical situations, either internally for Accenture or at client engagement(s)  pertaining to a functional, technical or business area of expertise.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Business Advisory Senior Manager;Utilizes deep industry or domain expertise to deliver business value on a repeatable basis to clients. Develop strategic business insights, drives decision-making to uncover opportunities to grow revenue to reduce costs. Utilize a broad set of analytical tools or management techniques to improve client business functions such as demand forecasting, inventory optimization, medical reviews and sales and marketing campaigns.;Business Advisory;Work outside documented processes applying judgment based services that deliver client value. Provide functional expertise for the key differentiating processes, products and solutions. Drive and manage analytical efforts in areas specific to business function and industry focus. For example: Design distribution network. Demand forecasting. Aggregate planning. Supply/capacity management. Inventory management. Retail and Forecasting. Marketing campaign objectives. Digital marketing strategy. Medical review. Develop strategic business insights and recommendations for improvements to business functions. Provide next generation recommendations for process improvements to drive efficiency and cost savings.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Business Advisory Manager;Utilizes deep industry or domain expertise to deliver business value on a repeatable basis to clients. Develop strategic business insights, drives decision-making to uncover opportunities to grow revenue to reduce costs. Utilize a broad set of analytical tools or management techniques to improve client business functions such as demand forecasting, inventory optimization, medical reviews and sales and marketing campaigns.;Business Advisory;Work outside documented processes applying judgment based services that deliver client value. Provide functional expertise for the key differentiating processes, products and solutions. Drive and manage analytical efforts in areas specific to business function and industry focus. For example: Design distribution network. Demand forecasting. Aggregate planning. Supply/capacity management. Inventory management. Retail and Forecasting. Marketing campaign objectives. Digital marketing strategy. Medical review. Develop strategic business insights and recommendations for improvements to business functions. Provide next generation recommendations for process improvements to drive efficiency and cost savings.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Business Advisory Associate Manager;Utilizes industry or domain experience to deliver business value on a repeatable basis to clients. Delivers strategic business insights, aids decision-making to maximize client operations or uncover opportunities to grow revenue to reduce costs. Utilizes a broad set of analytical tools to recommend and implement improvements to client business functions such as demand forecasting, inventory optimization.;Business Advisory;Work outside documented processes applying judgment based services that deliver client value. Provide functional expertise for the key differentiating processes, products and solutions. Drive and manage analytical efforts in areas specific to business function and industry focus. For example: Design distribution network. Demand forecasting. Aggregate planning. Supply/capacity management. Inventory management. Retail and Forecasting. Marketing campaign objectives. Digital marketing strategy. Medical review. Develop strategic business insights and recommendations for improvements to business functions. Provide next generation recommendations for process improvements to drive efficiency and cost savings.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Business Advisory Specialist;Utilizes industry or domain experience to deliver business value on a repeatable basis to clients. Delivers strategic business insights, aids decision-making to maximize client operations or uncover opportunities to grow revenue to reduce costs. Utilizes a broad set of analytical tools to recommend and implement improvements to client business functions such as demand forecasting, inventory optimization.;Business Advisory;Work within and outside documented processes where appropriate applying judgment based services that deliver client value. Provide functional expertise for key processes, products and solutions. Drive analytical efforts in areas specific to business function and industry focus. Design distribution network. Demand forecasting. Aggregate planning. Supply / capacity management. Inventory management. Retail forecasting. Marketing campaign objectives. Digital marketing strategy. Medical review. Develop strategic business insights and recommendations for improvements to business functions. Provide next generation recommendations for process improvements to drive efficiency and cost saving. Gather business intelligence for decision making. Utilize  analytical /statistical tools (e.g., SAS,JDA,) to develop business data insights. Utilize tools (e.g., cross tabulation, conjoint analysis, cluster analysis, multi-dimensional scaling, factor analysis, multiple discriminant analysis, regression and correlation) and algorithms for data mining (e.g., association rules, artificial neural network, decision tress, time series) to develop business data insights.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Business Advisory Senior Analyst;Utilizes industry or domain experience to deliver business value on a repeatable basis to clients. Delivers strategic business insights, aids decision-making to maximize client operations or uncover opportunities to grow revenue to reduce costs. Utilizes a broad set of analytical tools to recommend and implement improvements to client business functions such as demand forecasting, inventory optimization.;Business Advisory;Work within and outside documented processes where appropriate applying judgment based services that deliver client value. Provide functional expertise for key processes, products and solutions. Drive analytical efforts in areas specific to business function and industry focus. Design distribution network. Demand forecasting. Aggregate planning. Supply / capacity management. Inventory management. Retail forecasting. Marketing campaign objectives. Digital marketing strategy. Medical review. Develop strategic business insights and recommendations for improvements to business functions. Provide next generation recommendations for process improvements to drive efficiency and cost saving. Gather business intelligence for decision making. Utilize  analytical /statistical tools (e.g., SAS,JDA,) to develop business data insights. Utilize tools (e.g., cross tabulation, conjoint analysis, cluster analysis, multi-dimensional scaling, factor analysis, multiple discriminant analysis, regression and correlation) and algorithms for data mining (e.g., association rules, artificial neural network, decision tress, time series) to develop business data insights.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
